stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5710AWA10251,,"Arabella Street",,51.492805113,-3.170976786,,,0,,,0
5710AWA10262,,"Arabella Street",,51.492959297,-3.169943606,,,0,,,0
5710AWA11073,,"Ararat Church",,51.509775407,-3.211003231,,,0,,,0
5710AWA11074,,"Ararat Church",,51.50978429,-3.210578372,,,0,,,0
5710AWA11550,,"Archer Road",,51.481426273,-3.255651293,,,0,,,0
5710AWA11555,,"Archer Terrace",,51.483068993,-3.246603837,,,0,,,0
5710AWA10098,,"Arnold Ave",,51.529151942,-3.120170266,,,0,,,0
5710AWA10099,,"Arnold Ave",,51.528924536,-3.120622388,,,0,,,0
5720AWM26314,,"Arnold House",,51.424828701,-3.218342278,,,0,,,0
5720AWA10398,,"Arnold House",,51.424677822,-3.218151284,,,0,,,0
5720WDB48437,,Asda,,51.397367384,-3.279049605,,,0,,,0
5720WDB48432,,Asda,,51.397455866,-3.279181446,,,0,,,0
5710AWA10766,,"Asgog Street",,51.480654085,-3.156783181,,,0,,,0
5720AWA10010,,"Ash Grove",,51.416825607,-3.249105538,,,0,,,0
5710AWA11199,,"Ash Tree Close",,51.519048962,-3.266486762,,,0,,,0
5710AWA11395,,"Ashcroft Cres",,51.496830479,-3.254720496,,,0,,,0
5710AWA11396,,"Ashcroft Crescent",,51.496941587,-3.254421022,,,0,,,0
5710CBZ02545,,"Avondale Gardens",,51.464230202,-3.178911175,,,0,,,0
5710CBZ02544,,"Avondale Gardens",,51.464333719,-3.178453184,,,0,,,0
5710AWA11638,,"Avondale Road",,51.465860601,-3.176836978,,,0,,,0
5710AWA11639,,"Avondale Road",,51.465934396,-3.176651728,,,0,,,0
5710AWA11156,,"Bacton Road",,51.50193531,-3.215701099,,,0,,,0
5310AWB30437,,Bakery,,51.58298917,-2.992013048,,,0,,,0
5710AWA10110,,"Ball Road/Ball Lane",,51.519049087,-3.132865008,,,0,,,0
5710AWA10111,,"Ball Road/Ball Lane",,51.519438844,-3.132543184,,,0,,,0
5710AWA10351,,"Baltimore Close",,51.535643023,-3.135237891,,,0,,,0
5710AWA11554,,"Baptist Church",,51.481702172,-3.25002802,,,0,,,0
5710AWA11553,,"Baptist Church",,51.482188671,-3.249940516,,,0,,,0
